audio_path,label,frame_labels,start_sec,end_sec,transcript,chunk_language
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000000.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000000.npy,,,"मेरी जो ताकत है, वो मोदी नहीं है, एक सुछ चालीस करोड देश वासी, हाजारो साल की महान संसक्रती परमप्रा, वो ही मेरा सामप्रते, इसले में जाहाँ भी जाता हूँ, तो मोदी नहीं जाता है, हाजारो साल की भेट से भिभे कानध्यके की महान परमप्रा को एक सु चालीस करो लोग लोग उनके सपनों को लेकर को लेकर को लेकर को लेकर को में निकालता हुँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँ",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000001.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000001.npy,,,"बिश्वा में सुन्ता है, क्यों के बूद्द की बूमी है, ये मात्मा गांदी की बूमी है, तो बिश्वा में सुन्ता है। और हम संगर सगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अग",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000002.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000002.npy,,,"पश्किर पश्किर है यही रही हम समनवे के पश्किर है नहीं हम प्रक्रूती से संगर चाहते है नहीं हम राश्टो के भीश्पे संगर से आते है हम समनवे चाहने लोग है और उस में आगर कोई भूमी का हम आदा कर सकते है तो हमने निरन्त्तर आदा करने का प्रैथ तके है, मैरा जिमन भाई गब अत्तिन्त गरीवी से निक लादा, लेकिन हमने कभी गरी भी",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000003.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000003.npy,,,का कभी बोज नहीं फिल किया कोंकी जो बकती बडया जुटे पहनता है और अगर उसके जुटे नहीं है तो उसको लखता है यार ये है अब हमने जिन्गी में अभी जुटे पहने नहीं थे तो हमे क्या मारुं ता के भी जीटे पहना भी एक बहुत बड़ी चीज होती है तो हम वो कमपेर करने की वो असा वस्था मैं नहीं तो हम जीवर आसे ही जीए मैरे पदान मत्री बनने के बात,hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000004.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000004.npy,,,मैंने मेरे शबत समारो में पागितान को स्विष्यले इनवाइत किया ता कि एक शुप शूरोवात हो लेकिन हर बार हर अच्छे प्रयासो का परनाम नकरात्मक निक्लां हम आशा करते हैं कि सद्बुद्दी मिलेगी और सुक्शान्ती के रास्ते पर जाएं कि वाँम भी दुखी होगी आसा मैं मानता हूँ। देखे आपनी जो कहा आलोचना और कैसे डील करते हैं।,hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000005.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000005.npy,,,"तो मिजे एक वाके मैं कहना है, तो मैं उसका स्वागत करता हूँ। क्योंकि मेरा एक कनविक्षन है, कि क्रितिसिзम ये देमोक्रिसी की आतमा है, मैं मैं सबी इंदाव जवानो से कहना चाहूँँँ। जीवन मैं राद कितनी है अंदेरी क्योना। लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागती लिगन वो रागत",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000006.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000006.npy,,,"The following is a conversation with Narendra Modi, the Prime Minister of India. It was one of the most moving conversations and experiences of my life. Allow me here to say a few words about it. Please skip ahead straight to our conversation if you like. Narendra Modi's life st-",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000007.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000007.npy,,,"story is incredible. He rose from poverty to lead a nation of 1.4 billion people, the biggest democracy in the world, where he won epic-scale elections for Prime Minister three times. As a leader, he fought for ideas that unite his nation of India, a nation that is composed of a large number of highly varied and disparate cultures and peoples who have a long history marked by religious, social, and political friction.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000008.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000008.npy,,,"He is known for taking decisive, at times controversial actions, for which he is loved by hundreds of millions of people and is also criticized by many. We discuss all of this at length in this conversation. On the world stage, he is respected as a peacemaker and friend by most major world leaders, even those whose nations are at war with each other. From the United States, to China, to Ukraine and Russia.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000009.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000009.npy,,,"to Israel, Palestine, and the Middle East, and everywhere else. Now, at this moment in history, it is clear, at least to me, that the flourishing of human civilization hangs in the balance, with several wars on the brink of escalation to regional and even global conflict, rising tensions between nuclear powers, technological developments from AI to nuclear fusion that aim to completely transform society and geopolitics as we know it.",en
